Date,Open,High,Low,Close,Adj Close,Volume
2017-08-11,10.830000,10.830000,10.830000,10.830000,10.691697,0
2017-08-14,10.810000,10.810000,10.810000,10.810000,10.671954,0
2017-08-15,10.800000,10.800000,10.800000,10.800000,10.662081,0
2017-08-16,10.810000,10.810000,10.810000,10.810000,10.671954,0
2017-08-17,10.830000,10.830000,10.830000,10.830000,10.691697,0
2017-08-18,10.830000,10.830000,10.830000,10.830000,10.691697,0
2017-08-21,10.830000,10.830000,10.830000,10.830000,10.691697,0
2017-08-22,10.820000,10.820000,10.820000,10.820000,10.681825,0
2017-08-23,10.840000,10.840000,10.840000,10.840000,10.701571,0
2017-08-24,10.830000,10.830000,10.830000,10.830000,10.691697,0
2017-08-25,10.840000,10.840000,10.840000,10.840000,10.701571,0
2017-08-28,10.840000,10.840000,10.840000,10.840000,10.701571,0
2017-08-29,10.860000,10.860000,10.860000,10.860000,10.721314,0
2017-08-30,10.850000,10.850000,10.850000,10.850000,10.711442,0
2017-08-31,10.860000,10.860000,10.860000,10.860000,10.743097,0
2017-09-01,10.840000,10.840000,10.840000,10.840000,10.723313,0
2017-09-05,10.890000,10.890000,10.890000,10.890000,10.772775,0
2017-09-06,10.870000,10.870000,10.870000,10.870000,10.752990,0
2017-09-07,10.900000,10.900000,10.900000,10.900000,10.782665,0
2017-09-08,10.890000,10.890000,10.890000,10.890000,10.772775,0
2017-09-11,10.850000,10.850000,10.850000,10.850000,10.733206,0
2017-09-12,10.830000,10.830000,10.830000,10.830000,10.713420,0
2017-09-13,10.820000,10.820000,10.820000,10.820000,10.703527,0
2017-09-14,10.830000,10.830000,10.830000,10.830000,10.713420,0
2017-09-15,10.830000,10.830000,10.830000,10.830000,10.713420,0
2017-09-18,10.820000,10.820000,10.820000,10.820000,10.703527,0
2017-09-19,10.810000,10.810000,10.810000,10.810000,10.693636,0
2017-09-20,10.800000,10.800000,10.800000,10.800000,10.683742,0
2017-09-21,10.800000,10.800000,10.800000,10.800000,10.683742,0
2017-09-22,10.810000,10.810000,10.810000,10.810000,10.693636,0
2017-09-25,10.830000,10.830000,10.830000,10.830000,10.713420,0
2017-09-26,10.820000,10.820000,10.820000,10.820000,10.703527,0
2017-09-27,10.790000,10.790000,10.790000,10.790000,10.673852,0
2017-09-28,10.790000,10.790000,10.790000,10.790000,10.673852,0
2017-09-29,10.780000,10.780000,10.780000,10.780000,10.685745,0
2017-10-02,10.780000,10.780000,10.780000,10.780000,10.685745,0
2017-10-03,10.790000,10.790000,10.790000,10.790000,10.695658,0
2017-10-04,10.790000,10.790000,10.790000,10.790000,10.695658,0
2017-10-05,10.780000,10.780000,10.780000,10.780000,10.685745,0
2017-10-06,10.770000,10.770000,10.770000,10.770000,10.675833,0
2017-10-09,10.780000,10.780000,10.780000,10.780000,10.685745,0
2017-10-10,10.780000,10.780000,10.780000,10.780000,10.685745,0
2017-10-11,10.780000,10.780000,10.780000,10.780000,10.685745,0
2017-10-12,10.790000,10.790000,10.790000,10.790000,10.695658,0
2017-10-13,10.810000,10.810000,10.810000,10.810000,10.715484,0
2017-10-16,10.800000,10.800000,10.800000,10.800000,10.705570,0
2017-10-17,10.800000,10.800000,10.800000,10.800000,10.705570,0
2017-10-18,10.780000,10.780000,10.780000,10.780000,10.685745,0
